Title,Work Item Type,State,ID
,"User Story","Development","4515112"
,"User Story","Ready for Development","4521609"
,"User Story","Ready for Development","4521610"
,"User Story","Ready for Development","4521611"
,"User Story","Ready for Development","4521613"
,"User Story","Ready for Development","4521662"
,"User Story","Ready for Development","4521670"
,"User Story","Ready for Development","4521677"
,"User Story","Ready for Development","4523143"
,"User Story","Ready for Development","4523151"
,"User Story","Ready for Development","4523155"
,"User Story","Ready for Development","4441982"
,"User Story","Development","3947795"
,"User Story","Development","4452850"
,"User Story","Development","4508995"
,"User Story","Development","4452831"
,"User Story","Development","4452828"
,"User Story","Ready for Development","4519164"
,"User Story","Ready for Development","4452855"
,"User Story","Development","4452853"
,"User Story","Development","4321250"
,"User Story","Ready for Development","4503116"
,"User Story","Ready for Development","4507850"
,"User Story","Ready for Development","4507949"
,"User Story","Ready for Development","4515050"
,"User Story","Ready for Development","4452822"
,"User Story","Ready for Development","4452846"
,"User Story","Ready for Development","4463174"
